期間,排名,國家,貿易總值（新臺幣千元）,百分比,備註
106年4月,18,阿拉伯聯合大公國,18648000,1.35,
106年4月,19,俄羅斯,13716926,0.99,
106年4月,20,英國,13404849,0.97,
106年4月,21,義大利,10795959,0.78,
106年4月,22,法國,9925068,0.72,
106年4月,23,加拿大,9230017,0.67,
106年4月,24,卡達,8042803,0.58,
106年4月,25,科威特,8000390,0.58,
106年4月,26,伊拉克,7549413,0.55,
106年4月,27,巴西,7287296,0.53,
106年4月,28,亞塞拜然,7283057,0.53,
106年4月,29,墨西哥,6536461,0.47,
106年4月,30,以色列,6388537,0.46,
106年3月,1,中國大陸,341969903,23.54,
106年3月,2,美國,167307259,11.52,
106年3月,3,日本,164542646,11.33,
106年3月,4,香港,107364457,7.39,
106年3月,5,南韓,81707769,5.62,
106年3月,6,新加坡,69951063,4.82,
106年3月,7,馬來西亞,44558214,3.07,
106年3月,8,德國,38654944,2.66,
106年3月,9,越南,34575426,2.38,
106年3月,10,菲律賓,32822456,2.26,
106年3月,11,澳大利亞,31125668,2.14,
106年3月,12,泰國,29833307,2.05,
106年3月,13,沙烏地阿拉伯,24142541,1.66,
106年3月,14,其他國家,21665355,1.49,
106年3月,15,印尼,20563826,1.42,
106年3月,16,荷蘭,18572083,1.28,
106年3月,17,印度,16327830,1.12,
106年3月,18,法國,15152244,1.04,
106年3月,19,英國,13700956,0.94,
106年3月,20,阿拉伯聯合大公國,13045589,0.9,
106年3月,21,俄羅斯,12696309,0.87,
106年3月,22,義大利,12347228,0.85,
106年3月,23,加拿大,8884831,0.61,
106年3月,24,墨西哥,7859257,0.54,
106年3月,25,巴西,7056778,0.49,
106年3月,26,科威特,6897124,0.47,
106年3月,27,伊朗,6815293,0.47,
106年3月,28,卡達,5893819,0.41,
106年3月,29,瑞士,5333704,0.37,
106年3月,30,比利時,5091918,0.35,
106年2月,1,中國大陸,291816903,22.58,
106年2月,2,日本,159436333,12.34,
106年2月,3,美國,137982198,10.68,
106年2月,4,香港,93794415,7.26,
106年2月,5,南韓,74342327,5.75,
106年2月,6,新加坡,64887750,5.02,
106年2月,7,馬來西亞,38961830,3.01,
106年2月,8,德國,33079421,2.56,
106年2月,9,菲律賓,31013721,2.4,
106年2月,10,越南,28559731,2.21,
106年2月,11,澳大利亞,25440119,1.97,
106年2月,12,泰國,25170820,1.95,
106年2月,13,其他國家,20440886,1.58,
106年2月,14,印尼,19635342,1.52,
106年2月,15,荷蘭,16654603,1.29,
106年2月,16,沙烏地阿拉伯,15697145,1.21,
106年2月,17,印度,15041278,1.16,
106年2月,18,科威特,14067046,1.09,
106年2月,19,阿拉伯聯合大公國,13452481,1.04,
106年2月,20,英國,12584742,0.97,
106年2月,21,俄羅斯,11135270,0.86,
106年2月,22,義大利,10981472,0.85,
106年2月,23,法國,10802018,0.84,
106年2月,24,巴西,9622539,0.74,
106年2月,25,加拿大,8195223,0.63,
106年2月,26,墨西哥,6469142,0.5,
106年2月,27,卡達,5917231,0.46,
106年2月,28,阿曼,5684289,0.44,
106年2月,29,以色列,5018238,0.39,
106年2月,30,比利時,4629574,0.36,
106年1月,1,中國大陸,320096661,22.97,
106年1月,2,美國,172761609,12.4,
106年1月,3,日本,144936659,10.4,
106年1月,4,香港,99798220,7.16,
106年1月,5,南韓,77088689,5.53,
106年1月,6,新加坡,72425712,5.2,
106年1月,7,馬來西亞,40109506,2.88,
106年1月,8,德國,38085868,2.73,
106年1月,9,澳大利亞,30855160,2.21,
106年1月,10,菲律賓,30586745,2.2,
106年1月,11,越南,30059621,2.16,
106年1月,12,泰國,25507011,1.83,
106年1月,13,沙烏地阿拉伯,24246959,1.74,
106年1月,14,其他國家,23566208,1.69,
106年1月,15,印尼,21706171,1.56,
106年1月,16,印度,17528306,1.26,
106年1月,17,荷蘭,16793870,1.21,
106年1月,18,法國,15400864,1.11,
106年1月,19,英國,14058561,1.01,
106年1月,20,義大利,11325812,0.81,
106年1月,21,阿拉伯聯合大公國,11294732,0.81,
106年1月,22,加拿大,11168606,0.8,
106年1月,23,巴西,9957738,0.71,
106年1月,24,科威特,8940033,0.64,
106年1月,25,俄羅斯,8077566,0.58,
106年1月,26,墨西哥,7678194,0.55,
106年1月,27,卡達,6602080,0.47,
106年1月,28,瑞士,5897653,0.42,
106年1月,29,比利時,4754156,0.34,
106年1月,30,以色列,4747436,0.34,
105年1-12月,1,中國大陸,3791704845,23.14,
105年1-12月,2,美國,1950006538,11.9,
105年1-12月,3,日本,1936992266,11.82,
105年1-12月,4,香港,1275079669,7.78,
105年1-12月,5,南韓,875326005,5.34,
105年1-12月,6,新加坡,762729708,4.66,
105年1-12月,7,德國,466486465,2.85,
105年1-12月,8,馬來西亞,454379295,2.77,
105年1-12月,9,越南,395168107,2.41,
105年1-12月,10,菲律賓,349895574,2.14,
105年1-12月,11,泰國,300196082,1.83,
105年1-12月,12,澳大利亞,291992088,1.78,
105年1-12月,13,荷蘭,277565531,1.69,
105年1-12月,14,其他國家,252047523,1.54,
105年1-12月,15,印尼,227680353,1.39,
105年1-12月,16,沙烏地阿拉伯,226921394,1.39,
105年1-12月,17,英國,176949508,1.08,
105年1-12月,18,印度,161256106,0.98,
105年1-12月,19,法國,147196681,0.9,
105年1-12月,20,義大利,131211593,0.8,
105年1-12月,21,阿拉伯聯合大公國,122338449,0.75,
105年1-12月,22,俄羅斯,112085442,0.68,
105年1-12月,23,加拿大,105602878,0.64,
105年1-12月,24,科威特,99648212,0.61,
105年1-12月,25,墨西哥,94956629,0.58,
105年1-12月,26,巴西,93501195,0.57,
105年1-12月,27,卡達,76492910,0.47,
105年1-12月,28,瑞士,64982395,0.4,
105年1-12月,29,比利時,53388854,0.33,
105年1-12月,30,以色列,50165538,0.31,
105年12月,1,中國大陸,353298106,23.84,
105年12月,2,美國,167922653,11.33,
105年12月,3,日本,165805968,11.19,
105年12月,4,香港,120153428,8.11,
105年12月,5,南韓,77630852,5.24,
105年12月,6,新加坡,72174573,4.87,
105年12月,7,德國,39832418,2.69,
105年12月,8,馬來西亞,37929342,2.56,
105年12月,9,菲律賓,36694682,2.48,
105年12月,10,越南,34329708,2.32,
105年12月,11,其他國家,29431686,1.99,
105年12月,12,荷蘭,28413223,1.92,
105年12月,13,澳大利亞,27183070,1.83,
105年12月,14,泰國,24283517,1.64,
105年12月,15,印尼,19364805,1.31,
105年12月,16,英國,15703323,1.06,
105年12月,17,沙烏地阿拉伯,15447143,1.04,
105年12月,18,印度,15290807,1.03,
105年12月,19,法國,15185434,1.02,
105年12月,20,阿拉伯聯合大公國,13199482,0.89,
105年12月,21,義大利,11113463,0.75,
105年12月,22,俄羅斯,10287426,0.69,
105年12月,23,加拿大,8785502,0.59,
105年12月,24,巴西,8343215,0.56,
105年12月,25,科威特,8109491,0.55,
105年12月,26,墨西哥,7662404,0.52,
105年12月,27,伊拉克,6873295,0.46,
105年12月,28,伊朗,6491827,0.44,
105年12月,29,卡達,5630765,0.38,
105年12月,30,以色列,5074140,0.34,
105年11月,1,中國大陸,357063701,24.58,
105年11月,2,美國,171547628,11.81,
105年11月,3,日本,162733091,11.2,
105年11月,4,香港,114723078,7.9,
105年11月,5,南韓,82338428,5.67,
105年11月,6,新加坡,72089038,4.96,
105年11月,7,馬來西亞,40351389,2.78,
105年11月,8,德國,37898660,2.61,
105年11月,9,越南,33383506,2.3,
105年11月,10,菲律賓,31535760,2.17,
105年11月,11,澳大利亞,29770512,2.05,
105年11月,12,其他國家,27616811,1.9,
105年11月,13,泰國,25651547,1.77,
105年11月,14,印尼,18411210,1.27,
105年11月,15,荷蘭,17295201,1.19,
105年11月,16,沙烏地阿拉伯,16620819,1.14,
105年11月,17,法國,16008747,1.1,
105年11月,18,印度,15341400,1.06,
105年11月,19,英國,14403022,0.99,
105年11月,20,義大利,11323486,0.78,
105年11月,21,阿拉伯聯合大公國,9312990,0.64,
105年11月,22,俄羅斯,9045250,0.62,
105年11月,23,加拿大,8183442,0.56,
105年11月,24,巴西,8176333,0.56,
105年11月,25,科威特,7698352,0.53,
105年11月,26,墨西哥,6861538,0.47,
105年11月,27,瑞士,5891430,0.41,
105年11月,28,比利時,4591993,0.32,
105年11月,29,以色列,4268621,0.29,
105年11月,30,西班牙,4237467,0.29,
105年10月,1,中國大陸,370397932,24.11,
105年10月,2,日本,180856729,11.77,
105年10月,3,美國,172235414,11.21,
105年10月,4,香港,116745804,7.6,
105年10月,5,南韓,86219762,5.61,
105年10月,6,新加坡,69118443,4.5,
105年10月,7,馬來西亞,44067170,2.87,
105年10月,8,德國,42640035,2.78,
105年10月,9,越南,36731747,2.39,
105年10月,10,菲律賓,34446950,2.24,
105年10月,11,荷蘭,27777722,1.81,
105年10月,12,澳大利亞,27368903,1.78,
105年10月,13,泰國,27009557,1.76,
105年10月,14,其他國家,25140004,1.64,
105年10月,15,沙烏地阿拉伯,22206878,1.45,
105年10月,16,印尼,21859400,1.42,
105年10月,17,印度,17596402,1.15,
105年10月,18,英國,16083247,1.05,
105年10月,19,法國,15591700,1.01,
105年10月,20,阿拉伯聯合大公國,12926701,0.84,
105年10月,21,科威特,12421674,0.81,
105年10月,22,義大利,10590697,0.69,
105年10月,23,加拿大,10583142,0.69,
105年10月,24,俄羅斯,10189645,0.66,
105年10月,25,巴西,7916542,0.52,
105年10月,26,墨西哥,7846622,0.51,
105年10月,27,卡達,7241492,0.47,
105年10月,28,安哥拉,6157188,0.4,
105年10月,29,瑞士,5800724,0.38,
105年10月,30,伊朗,5276848,0.34,
105年9月,1,中國大陸,302134606,23.57,
105年9月,2,日本,158479597,12.36,
105年9月,3,美國,147989066,11.54,
105年9月,4,香港,107850829,8.41,
105年9月,5,南韓,70906361,5.53,
105年9月,6,新加坡,62666983,4.89,
105年9月,7,馬來西亞,37575554,2.93,
105年9月,8,德國,37572172,2.93,
105年9月,9,越南,30089000,2.35,
105年9月,10,菲律賓,26613820,2.08,
105年9月,11,其他國家,23188245,1.81,
105年9月,12,澳大利亞,23091660,1.8,
105年9月,13,荷蘭,22744146,1.77,
105年9月,14,泰國,22424626,1.75,
105年9月,15,印尼,17263518,1.35,
105年9月,16,沙烏地阿拉伯,13234603,1.03,
105年9月,17,英國,13050892,1.02,
105年9月,18,印度,12586570,0.98,
105年9月,19,法國,9790865,0.76,
105年9月,20,義大利,8728295,0.68,
105年9月,21,巴西,8412690,0.66,
105年9月,22,阿拉伯聯合大公國,7744318,0.6,
105年9月,23,加拿大,7727401,0.6,
105年9月,24,俄羅斯,7575300,0.59,
105年9月,25,墨西哥,6756342,0.53,
105年9月,26,卡達,5001821,0.39,
105年9月,27,瑞士,4522441,0.35,
105年9月,28,以色列,3843479,0.3,
105年9月,29,西班牙,3715063,0.29,
105年9月,30,科威特,3583079,0.28,
105年8月,1,中國大陸,330723465,23.2,
105年8月,2,日本,167671905,11.76,
105年8月,3,美國,167257547,11.73,
105年8月,4,香港,111376131,7.81,
105年8月,5,南韓,79557170,5.58,
105年8月,6,新加坡,69055717,4.84,
105年8月,7,德國,39802517,2.79,
105年8月,8,馬來西亞,39504855,2.77,
105年8月,9,越南,34408304,2.41,
105年8月,10,菲律賓,29293859,2.06,
105年8月,11,泰國,25663263,1.8,
105年8月,12,荷蘭,24733284,1.74,
105年8月,13,澳大利亞,23919980,1.68,
105年8月,14,其他國家,23753675,1.67,
105年8月,15,沙烏地阿拉伯,21238952,1.49,
105年8月,16,印尼,17398927,1.22,
105年8月,17,英國,14974538,1.05,
105年8月,18,印度,12741799,0.89,
105年8月,19,科威特,11463466,0.8,
105年8月,20,法國,11383832,0.8,
105年8月,21,義大利,11153515,0.78,
105年8月,22,加拿大,9264557,0.65,
105年8月,23,俄羅斯,9085268,0.64,
105年8月,24,巴西,8917566,0.63,
105年8月,25,阿拉伯聯合大公國,8105878,0.57,
105年8月,26,墨西哥,7272460,0.51,
105年8月,27,卡達,6404772,0.45,
105年8月,28,伊朗,5187902,0.36,
105年8月,29,以色列,4911912,0.34,
105年8月,30,阿曼,4678304,0.33,
105年7月,1,中國大陸,320147174,22.42,
105年7月,2,日本,174323578,12.21,
105年7月,3,美國,166395419,11.65,
105年7月,4,香港,113408783,7.94,
105年7月,5,南韓,79482207,5.57,
105年7月,6,新加坡,62185360,4.35,
105年7月,7,德國,40961734,2.87,
105年7月,8,馬來西亞,39863659,2.79,
105年7月,9,越南,33527032,2.35,
105年7月,10,菲律賓,30002028,2.1,
105年7月,11,荷蘭,29772776,2.08,
105年7月,12,泰國,25499251,1.79,
105年7月,13,沙烏地阿拉伯,24521862,1.72,
105年7月,14,澳大利亞,23104230,1.62,
105年7月,15,其他國家,20880425,1.46,
105年7月,16,印尼,20384950,1.43,
105年7月,17,英國,15955541,1.12,
105年7月,18,印度,13152169,0.92,
105年7月,19,法國,10934905,0.77,
105年7月,20,義大利,10537586,0.74,
105年7月,21,阿拉伯聯合大公國,10416476,0.73,
105年7月,22,俄羅斯,10049100,0.7,
105年7月,23,巴西,9706912,0.68,
105年7月,24,卡達,9105850,0.64,
105年7月,25,墨西哥,8383737,0.59,
105年7月,26,加拿大,8252403,0.58,
105年7月,27,瑞士,7336879,0.51,
105年7月,28,科威特,6868399,0.48,
105年7月,29,阿曼,6304145,0.44,
105年7月,30,以色列,4928693,0.35,
105年6月,1,中國大陸,298276507,21.84,
105年6月,2,美國,171468328,12.56,
105年6月,3,日本,168565017,12.34,
105年6月,4,香港,104597939,7.66,
105年6月,5,南韓,75313173,5.51,
105年6月,6,新加坡,63456521,4.65,
105年6月,7,馬來西亞,39173599,2.87,
105年6月,8,德國,36525929,2.67,
105年6月,9,越南,32649092,2.39,
105年6月,10,菲律賓,31735701,2.32,
105年6月,11,泰國,26922897,1.97,
105年6月,12,澳大利亞,25603052,1.87,
105年6月,13,荷蘭,24453135,1.79,
105年6月,14,沙烏地阿拉伯,20650962,1.51,
105年6月,15,其他國家,17435569,1.28,
105年6月,16,印尼,17090834,1.25,
105年6月,17,英國,13409336,0.98,
105年6月,18,科威特,12746222,0.93,
105年6月,19,法國,12483276,0.91,
105年6月,20,印度,12414287,0.91,
105年6月,21,義大利,11465883,0.84,
105年6月,22,阿拉伯聯合大公國,10606531,0.78,
105年6月,23,俄羅斯,10238193,0.75,
105年6月,24,加拿大,8879105,0.65,
105年6月,25,墨西哥,7235768,0.53,
105年6月,26,卡達,6724481,0.49,
105年6月,27,巴西,6244615,0.46,
105年6月,28,智利,5215348,0.38,
105年6月,29,瑞士,4950970,0.36,
105年6月,30,以色列,4576448,0.34,
105年5月,1,中國大陸,327818162,23.23,
105年5月,2,美國,173530452,12.3,
105年5月,3,日本,160401741,11.37,
105年5月,4,香港,105030596,7.44,
105年5月,5,南韓,69352485,4.92,
105年5月,6,新加坡,61883987,4.39,
105年5月,7,德國,40858007,2.9,
105年5月,8,馬來西亞,39749425,2.82,
105年5月,9,越南,35387808,2.51,
105年5月,10,菲律賓,28308696,2.01,
105年5月,11,泰國,27319033,1.94,
105年5月,12,澳大利亞,26222054,1.86,
105年5月,13,荷蘭,24873472,1.76,
105年5月,14,其他國家,21625405,1.53,
105年5月,15,沙烏地阿拉伯,20115255,1.43,
105年5月,16,印尼,19949001,1.41,
105年5月,17,英國,15905854,1.13,
105年5月,18,印度,12663437,0.9,
105年5月,19,義大利,12111765,0.86,
105年5月,20,法國,11747640,0.83,
105年5月,21,阿拉伯聯合大公國,11612211,0.82,
105年5月,22,加拿大,9457028,0.67,
105年5月,23,科威特,8535990,0.61,
105年5月,24,俄羅斯,8451015,0.6,
105年5月,25,巴西,7844207,0.56,
105年5月,26,墨西哥,7362174,0.52,
105年5月,27,卡達,7179987,0.51,
105年5月,28,亞塞拜然,6216901,0.44,
105年5月,29,伊拉克,5586391,0.4,
105年5月,30,以色列,5423691,0.38,
105年4月,1,中國大陸,294082136,23.07,
105年4月,2,美國,157514190,12.35,
105年4月,3,日本,144644930,11.34,
105年4月,4,香港,100162889,7.86,
105年4月,5,南韓,64967613,5.1,
105年4月,6,新加坡,55951284,4.39,
105年4月,7,德國,37864009,2.97,
105年4月,8,馬來西亞,35585617,2.79,
105年4月,9,越南,32576215,2.56,
105年4月,10,菲律賓,26020723,2.04,
105年4月,11,澳大利亞,25237847,1.98,
105年4月,12,泰國,23495910,1.84,
105年4月,13,沙烏地阿拉伯,19054282,1.49,
105年4月,14,印尼,18223997,1.43,
105年4月,15,荷蘭,17528789,1.37,
105年4月,16,其他國家,16458309,1.29,
105年4月,17,英國,14423098,1.13,
105年4月,18,印度,12488242,0.98,
105年4月,19,法國,11190209,0.88,
105年4月,20,義大利,10961510,0.86,
105年4月,21,墨西哥,10886221,0.85,
105年4月,22,阿拉伯聯合大公國,10689469,0.84,
105年4月,23,加拿大,8292563,0.65,
105年4月,24,俄羅斯,7783421,0.61,
105年4月,25,科威特,7137176,0.56,
105年4月,26,卡達,6494752,0.51,
105年4月,27,巴西,6324334,0.5,
105年4月,28,比利時,5240522,0.41,
105年4月,29,伊朗,5223940,0.41,
105年4月,30,西班牙,4980608,0.39,
105年3月,1,中國大陸,308736573,22.97,
105年3月,2,美國,164330453,12.23,
105年3月,3,日本,163846804,12.19,
105年3月,4,香港,106347303,7.91,
105年3月,5,南韓,70424168,5.24,
105年3月,6,新加坡,59311857,4.41,
105年3月,7,德國,40588749,3.02,
105年3月,8,越南,36568001,2.72,
105年3月,9,馬來西亞,36171670,2.69,
105年3月,10,菲律賓,27584045,2.05,
105年3月,11,泰國,26164507,1.95,
105年3月,12,澳大利亞,23005319,1.71,
105年3月,13,荷蘭,20660676,1.54,
105年3月,14,印尼,20517552,1.53,
105年3月,15,沙烏地阿拉伯,16738811,1.25,
105年3月,16,其他國家,16428978,1.22,
105年3月,17,英國,15362305,1.14,
105年3月,18,印度,12595387,0.94,
105年3月,19,義大利,11475565,0.85,
105年3月,20,法國,10884024,0.81,
105年3月,21,加拿大,9984819,0.74,
105年3月,22,墨西哥,9011045,0.67,
105年3月,23,俄羅斯,8949834,0.67,
105年3月,24,巴西,7843912,0.58,
105年3月,25,阿拉伯聯合大公國,7519092,0.56,
105年3月,26,科威特,6881742,0.51,
105年3月,27,瑞士,6660594,0.5,
105年3月,28,卡達,5144530,0.38,
105年3月,29,亞塞拜然,5038072,0.37,
105年3月,30,比利時,4549551,0.34,
105年2月,1,中國大陸,214516797,20.73,
105年2月,2,日本,134400795,12.99,
105年2月,3,美國,124638247,12.04,
105年2月,4,香港,70832946,6.84,
105年2月,5,新加坡,55728843,5.38,
105年2月,6,南韓,53954160,5.21,
105年2月,7,德國,31815381,3.07,
105年2月,8,馬來西亞,29506989,2.85,
105年2月,9,越南,24129025,2.33,
105年2月,10,泰國,20383996,1.97,
105年2月,11,菲律賓,20269799,1.96,
105年2月,12,荷蘭,18149496,1.75,
105年2月,13,澳大利亞,16954758,1.64,
105年2月,14,印尼,16180226,1.56,
105年2月,15,沙烏地阿拉伯,14721272,1.42,
105年2月,16,其他國家,13953067,1.35,
105年2月,17,印度,12003166,1.16,
105年2月,18,英國,11954674,1.16,
105年2月,19,義大利,9823074,0.95,
105年2月,20,俄羅斯,9435433,0.91,
105年2月,21,法國,8652848,0.84,
105年2月,22,阿拉伯聯合大公國,7692702,0.74,
105年2月,23,加拿大,7252516,0.7,
105年2月,24,墨西哥,6844413,0.66,
105年2月,25,巴西,6554805,0.63,
105年2月,26,卡達,6296680,0.61,
105年2月,27,科威特,5820019,0.56,
105年2月,28,瑞士,4580436,0.44,
105年2月,29,智利,3820956,0.37,
105年2月,30,伊拉克,3737816,0.36,
105年1月,1,中國大陸,314509686,23.37,
105年1月,2,美國,165177141,12.27,
105年1月,3,日本,155262111,11.54,
105年1月,4,香港,103849943,7.72,
105年1月,5,南韓,65179626,4.84,
105年1月,6,新加坡,59107102,4.39,
105年1月,7,德國,40126854,2.98,
105年1月,8,馬來西亞,34900026,2.59,
105年1月,9,越南,31388669,2.33,
105年1月,10,菲律賓,27389511,2.04,
105年1月,11,泰國,25377978,1.89,
105年1月,12,沙烏地阿拉伯,22370555,1.66,
105年1月,13,荷蘭,21163611,1.57,
105年1月,14,印尼,21035933,1.56,
105年1月,15,澳大利亞,20530703,1.53,
105年1月,16,其他國家,16135349,1.2,
105年1月,17,英國,15723678,1.17,
105年1月,18,法國,13343201,0.99,
105年1月,19,阿拉伯聯合大公國,12512599,0.93,
105年1月,20,印度,12382440,0.92,
105年1月,21,義大利,11926754,0.89,
105年1月,22,俄羅斯,10995557,0.82,
105年1月,23,加拿大,8940400,0.66,
105年1月,24,墨西哥,8833905,0.66,
105年1月,25,科威特,8382602,0.62,
105年1月,26,卡達,7430817,0.55,
105年1月,27,巴西,7216064,0.54,
105年1月,28,瑞士,6049474,0.45,
105年1月,29,比利時,5382813,0.4,
105年1月,30,智利,4695113,0.35,
